candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s44_c30,1,44,48.88472784731019,10.588280063691169,0.0,0.0
s43_c14,2,43,43.88804633593551,11.544224686013477,0.0,0.0
s42_c15,3,42,48.57555175006637,7.023315497558738,0.024390243902439025,0.008403361344537815
s43_c25,4,43,31.960041665976426,11.704072659513585,0.0975609756097561,0.02666666666666667
s44_c2,5,44,23.17147355945775,6.452545196856825,0.1951219512195122,0.07339449541284404
s44_c8,6,44,14.735412519008177,6.627008726423924,0.34146341463414637,0.09523809523809523
s43_c4,7,43,62.479557224387094,15.89814953541044,0.0,0.0
s44_c25,8,44,40.16833659142641,8.654307145961905,0.04878048780487805,0.01015228426395939
s43_c8,9,43,40.40045167321413,11.598362727940133,0.0,0.0
s42_c12,10,42,64.07932990267935,14.911100238387231,0.0,0.0
s44_c6,11,44,31.16668006514734,10.245613506742998,0.1951219512195122,0.041237113402061855
s42_c19,12,42,34.20481811563108,12.357519169938675,0.0,0.0
s44_c18,13,44,32.953924606055594,7.166191112004507,0.0,0.0
s42_c23,14,42,46.947835545862915,17.08036110758956,0.0,0.0
s43_c0,15,43,49.864218997421226,12.933706264687586,0.0,0.0
s43_c15,16,43,60.918524800467,12.605779801343667,0.0,0.0
s42_c7,17,42,37.47248173155812,13.232192968387675,0.0,0.0
s42_c4,18,42,35.16462840343679,13.88160978431176,0.024390243902439025,0.0024271844660194173
s42_c2,19,42,28.11750918859233,8.563031662869557,0.07317073170731707,0.011278195488721804
s44_c3,20,44,32.56700798674386,12.163638298176112,0.0,0.0
s44_c22,21,44,54.90683979486537,13.271607484644017,0.024390243902439025,0.0030959752321981426
s42_c26,22,42,24.587051468105148,11.867754577933747,0.0,0.0
s43_c1,23,43,32.25446723484833,12.909192341726069,0.0,0.0
s43_c12,24,43,47.665959780842556,10.241562963565954,0.0,0.0
s43_c18,25,43,33.62803606700736,13.606984397471829,0.024390243902439025,0.002793296089385475
s44_c7,26,44,52.81988596093457,11.303961906426961,0.0,0.0
s42_c10,27,42,49.55390100692311,8.287360159974059,0.0,0.0
s42_c25,28,42,34.713571563045875,11.759510636795659,0.14634146341463414,0.015
s44_c5,29,44,49.993072379430394,7.315514958988832,0.0,0.0
s42_c11,30,42,41.15386246998745,11.36624115934752,0.1951219512195122,0.024922118380062305
s42_c28,31,42,39.11668142339558,8.558886682596304,0.0,0.0
s42_c27,32,42,37.06607337474019,10.206649266842984,0.0,0.0
s43_c16,33,43,49.14533813215041,12.255924768252095,0.14634146341463414,0.014285714285714285
s43_c22,34,43,69.20732968275954,14.614789801625784,0.0,0.0
s42_c29,35,42,28.984368135670568,9.746429573117721,0.04878048780487805,0.005376344086021506
s42_c20,36,42,22.27468384567306,8.810742525529559,0.0,0.0
