candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c6,True,0.041237113402061855,0.10416896880177835,0.1951219512195122,12.40532566807869,25.087378825637472,assessed,0.35871183689295555,31.16668006514734,,44,15,77,[],,10.245613506742998,False,10.22742280817526,0.1951219512195122,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.02729975271627553,,56,26,120,170,194,False,332,11,44,True,False
s42_c19,True,0.0,0.029445940650903335,0.0,12.758485675189547,29.91491738638521,assessed,0.016313356401576187,34.20481811563108,,65,20,137,[],,12.357519169938675,False,12.357519169938675,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.018529468011398376,,21,19,43,202,217,False,363,12,42,True,False
s44_c18,True,0.0,0.03363933168389993,0.0,8.659582259911227,30.564589199642672,assessed,0.01682754148274635,32.953924606055594,,10,19,21,[],,7.166191112004507,False,7.166191112004507,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.01647270178914957,,8,17,18,305,350,False,602,13,44,True,False
s42_c23,True,0.0,0.01831772900007304,0.0,14.129405642167434,39.71111870055795,assessed,0.0186051363498893,46.947835545862915,,60,28,122,[],,17.08036110758956,False,17.08036110758956,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.016752652387738008,,0,16,0,269,272,False,534,14,42,True,False
s43_c0,True,0.0,0.03711200150755801,0.0,11.986704686911617,26.095964914954184,assessed,0.01875225448529338,49.864218997421226,,17,23,29,[],,12.933706264687586,False,12.933706264687586,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.01485955995978025,,43,18,63,289,242,False,526,15,43,True,False
s43_c15,True,0.0,0.024335233904009754,0.0,11.274776581044373,35.02695943911222,assessed,0.01767156976669302,60.918524800467,,9,19,15,[],,12.605779801343667,False,12.59067016089413,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.015140972472711263,,52,21,99,293,304,False,577,16,43,True,False
s42_c7,True,0.0,0.026547401279443324,0.0,14.923434109530177,31.068035924019743,assessed,0.36064470796718395,37.47248173155812,,45,20,84,[],,13.232192968387675,False,13.217672141094095,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.02131627468894882,,48,26,83,261,258,False,488,17,42,True,False
s42_c4,True,0.0024271844660194173,0.024998726982714325,0.024390243902439025,16.390258893496977,40.44487361121512,assessed,0.01543751427865786,35.16462840343679,,6,17,11,[],,13.88160978431176,False,13.88160978431176,0.024390243902439025,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.014997851330166132,,23,18,49,347,412,False,750,18,42,True,False
s42_c2,True,0.011278195488721804,0.0895362062749037,0.07317073170731707,7.486256005418813,19.70810031775875,assessed,0.018253437870438496,28.11750918859233,,50,22,110,[],,8.563031662869557,False,8.54013767259355,0.07317073170731707,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.02396860525919244,,92,30,167,242,266,False,476,19,42,True,False
s44_c3,True,0.0,0.029270310211131342,0.0,13.825104511257447,29.600865094129702,assessed,0.37179171402078093,32.56700798674386,,32,23,61,[],,12.163638298176112,False,12.148763487682345,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.016974546774792838,,37,25,71,315,289,False,613,20,44,True,False
