candidate,rank,seed,e3_ca_rmsd_A,ligand_rmsd_A,native_contact_recall,contact_precision
s44_c15,1,44,51.182776465798206,11.107009866011646,0.0,0.0
s43_c22,2,43,18.654474267808066,7.841619281483949,0.06666666666666667,0.5
s44_c13,3,44,36.82860300301533,6.636959040346779,0.0,0.0
s42_c23,4,42,31.188083142114845,6.800349802389257,0.13333333333333333,0.14285714285714285
s44_c5,5,44,37.402586592109344,7.6482020342464825,0.0,0.0
s42_c11,6,42,26.780979458333267,7.821415942576888,0.0,0.0
s42_c22,7,42,37.86051667425876,8.051529198977377,0.13333333333333333,0.08
s43_c30,8,43,26.127871191941068,7.820163744065025,0.4666666666666667,0.25
s43_c23,9,43,44.00188511945544,10.67022613259268,0.0,0.0
s42_c15,10,42,46.997584471269924,10.697055541886442,0.06666666666666667,0.01639344262295082
s43_c28,11,43,60.62721833190896,13.104356341365317,0.0,0.0
s42_c16,12,42,49.55217178218957,8.308886412545048,0.0,0.0
s44_c8,13,44,26.264258570050213,8.160665161357516,0.06666666666666667,0.01098901098901099
s43_c5,14,43,30.789437276853274,11.8618291778934,0.0,0.0
s42_c8,15,42,43.796870977313546,7.088960529481453,0.0,0.0
s42_c0,16,42,21.366570811530842,10.930222997804846,0.2,0.024793388429752067
s44_c27,17,44,48.45224094157821,9.035379004791116,0.06666666666666667,0.008130081300813009
s43_c3,18,43,23.879668167148175,8.164542357195593,0.0,0.0
s44_c3,19,44,39.867472236177406,7.6962967639963145,0.06666666666666667,0.00641025641025641
s44_c25,20,44,41.73438940181705,5.839006580374858,0.06666666666666667,0.005952380952380952
s44_c30,21,44,35.9852043137306,11.618277835136746,0.0,0.0
s44_c28,22,44,46.538658672276604,9.126300003148492,0.06666666666666667,0.007751937984496124
s43_c20,23,43,55.528100052020825,11.136307234452847,0.0,0.0
s42_c27,24,42,11.726925097920226,5.785942558384484,0.5333333333333333,0.05063291139240506
s42_c4,25,42,32.96841920218828,9.251763536647038,0.3333333333333333,0.028089887640449437
s42_c10,26,42,47.81786547083856,13.648467684582476,0.0,0.0
s42_c24,27,42,29.340007604588024,7.844974065409151,0.2,0.023255813953488372
s44_c7,28,44,40.56339735150671,7.169576991553436,0.06666666666666667,0.0043859649122807015
s43_c15,29,43,26.547540737250742,9.459325964619536,0.0,0.0
